State ,Year,SSI_recip
Alabama,1980,134100
Alabama,1981,130100
Alabama,1982,125900
Alabama,1983,127800
Alabama,1984,128900
Alabama,1985,130500
Alabama,1986,131100
Alabama,1987,131000
Alabama,1988,130000
Alabama,1989,130900
Alabama,1990,132824
Alabama,1991,137105
Alabama,1992,146898
Alabama,1993,155734
Alabama,1994,161666
Alabama,1995,165093
Alabama,1996,166975
Alabama,1997,163222
Alabama,1998,163308
Alabama,1999,160208
Alabama,2000,159343
Alabama,2001,161522
Alabama,2002,163740
Alabama,2003,163760
Alabama,2004,163002
Alabama,2005,163709
Alabama,2006,164764
Alabama,2007,165521
Alabama,2008,166743
Alabama,2009,169320
Alabama,2010,172220
Alaska,1980,3100
Alaska,1981,3100
Alaska,1982,2900
Alaska,1983,3000
Alaska,1984,3300
Alaska,1985,3500
Alaska,1986,3600
Alaska,1987,3900
Alaska,1988,4100
Alaska,1989,4400
Alaska,1990,4634
Alaska,1991,4974
Alaska,1992,5444
Alaska,1993,5909
Alaska,1994,6389
Alaska,1995,6879
Alaska,1996,7346
Alaska,1997,7446
Alaska,1998,7891
Alaska,1999,8156
Alaska,2000,8636
Alaska,2001,9123
Alaska,2002,9658
Alaska,2003,10639
Alaska,2004,10781
Alaska,2005,11027
Alaska,2006,11340
Alaska,2007,11440
Alaska,2008,11614
Alaska,2009,12006
Alaska,2010,12242
Arizona,1980,29600
Arizona,1981,29000
Arizona,1982,28500
Arizona,1983,29200
Arizona,1984,31500
Arizona,1985,33100
Arizona,1986,35100
Arizona,1987,37300
Arizona,1988,39100
Arizona,1989,40900
Arizona,1990,44780
Arizona,1991,49760
Arizona,1992,57271
Arizona,1993,63033
Arizona,1994,68559
Arizona,1995,72961
Arizona,1996,75763
Arizona,1997,76339
Arizona,1998,77846
Arizona,1999,79306
Arizona,2000,81278
Arizona,2001,84796
Arizona,2002,88054
Arizona,2003,91655
Arizona,2004,94400
Arizona,2005,97703
Arizona,2006,99196
Arizona,2007,100724
Arizona,2008,103065
Arizona,2009,106130
Arizona,2010,109877
Arkansas,1980,77800
Arkansas,1981,74500
Arkansas,1982,70700
Arkansas,1983,71500
Arkansas,1984,72500
Arkansas,1985,73100
Arkansas,1986,73800
Arkansas,1987,73900
Arkansas,1988,73600
Arkansas,1989,74500
Arkansas,1990,75884
Arkansas,1991,79337
Arkansas,1992,85840
Arkansas,1993,90582
Arkansas,1994,93834
Arkansas,1995,94486
Arkansas,1996,94368
Arkansas,1997,90527
Arkansas,1998,89969
Arkansas,1999,87686
Arkansas,2000,85310
Arkansas,2001,85088
Arkansas,2002,85107
Arkansas,2003,86542
Arkansas,2004,87928
Arkansas,2005,91043
Arkansas,2006,92960
Arkansas,2007,95802
Arkansas,2008,99072
Arkansas,2009,102927
Arkansas,2010,106745
California,1980,717500
California,1981,694200
California,1982,656200
California,1983,653400
California,1984,664600
California,1985,684100
California,1986,710600
California,1987,749700
California,1988,774900
California,1989,815300
California,1990,872772
California,1991,920235
California,1992,956835
California,1993,994213
California,1994,1014147
California,1995,1031872
California,1996,1044753
California,1997,1023102
California,1998,1042002
California,1999,1066486
California,2000,1087614
California,2001,1106294
California,2002,1135834
California,2003,1162725
California,2004,1183002
California,2005,1212069
California,2006,1226697
California,2007,1247231
California,2008,1271916
California,2009,1250030
California,2010,1269123
Colorado,1980,30500
Colorado,1981,29400
Colorado,1982,28200
Colorado,1983,28400
Colorado,1984,28900
Colorado,1985,30000
Colorado,1986,31300
Colorado,1987,32800
Colorado,1988,34100
Colorado,1989,35700
Colorado,1990,37542
Colorado,1991,41666
Colorado,1992,46606
Colorado,1993,51055
Colorado,1994,54589
Colorado,1995,56672
Colorado,1996,57501
Colorado,1997,56479
Colorado,1998,56204
Colorado,1999,54588
Colorado,2000,53694
Colorado,2001,53466
Colorado,2002,53689
Colorado,2003,53988
Colorado,2004,54131
Colorado,2005,55441
Colorado,2006,56830
Colorado,2007,58497
Colorado,2008,59891
Colorado,2009,61951
Colorado,2010,65511
Connecticut,1980,23400
Connecticut,1981,23400
Connecticut,1982,23100
Connecticut,1983,23900
Connecticut,1984,25200
Connecticut,1985,26400
Connecticut,1986,28200
Connecticut,1987,28800
Connecticut,1988,29500
Connecticut,1989,30400
Connecticut,1990,32042
Connecticut,1991,34424
Connecticut,1992,37214
Connecticut,1993,40233
Connecticut,1994,42707
Connecticut,1995,44661
Connecticut,1996,46121
Connecticut,1997,46170
Connecticut,1998,46972
Connecticut,1999,47609
Connecticut,2000,48731
Connecticut,2001,49586
Connecticut,2002,50368
Connecticut,2003,51151
Connecticut,2004,51536
Connecticut,2005,52147
Connecticut,2006,53276
Connecticut,2007,54197
Connecticut,2008,55376
Connecticut,2009,56270
Connecticut,2010,58229
Delaware,1980,7200
Delaware,1981,6900
Delaware,1982,6700
Delaware,1983,6900
Delaware,1984,7200
Delaware,1985,7500
Delaware,1986,7700
Delaware,1987,7800
Delaware,1988,7800
Delaware,1989,7700
Delaware,1990,8080
Delaware,1991,8383
Delaware,1992,8960
Delaware,1993,9696
Delaware,1994,10271
Delaware,1995,10996
Delaware,1996,11447
Delaware,1997,11430
Delaware,1998,11796
Delaware,1999,11840
Delaware,2000,11961
Delaware,2001,12197
Delaware,2002,12565
Delaware,2003,12930
Delaware,2004,13452
Delaware,2005,13664
Delaware,2006,14038
Delaware,2007,14401
Delaware,2008,14797
Delaware,2009,15299
Delaware,2010,15804
Florida,1980,173600
Florida,1981,172000
Florida,1982,168300
Florida,1983,170900
Florida,1984,178100
Florida,1985,183700
Florida,1986,189200
Florida,1987,196000
Florida,1988,202200
Florida,1989,210900
Florida,1990,221754
Florida,1991,241368
Florida,1992,266801
Florida,1993,292769
Florida,1994,320038
Florida,1995,338246
Florida,1996,352775
Florida,1997,353102
Florida,1998,361892
Florida,1999,366517
Florida,2000,376555
Florida,2001,386334
Florida,2002,396976
Florida,2003,409400
Florida,2004,412970
Florida,2005,422466
Florida,2006,427902
Florida,2007,431015
Florida,2008,444840
Florida,2009,463573
Florida,2010,484363
Georgia,1980,154500
Georgia,1981,150400
Georgia,1982,145300
Georgia,1983,147900
Georgia,1984,151500
Georgia,1985,152600
Georgia,1986,154500
Georgia,1987,155300
Georgia,1988,154800
Georgia,1989,156900
Georgia,1990,159518
