State,Year,exfels,totfels,expris,totpris,vap,pctexfel,pctexpris,pcttotfels,pcttotpris,blkexfels,totblkfels,blkexpris,totblkpris,blkvap,blkpctexfel,blkpctexpris,pcttotblkfels,pcttotblkpris
Alabama,2010," 184,383 "," 270,813 "," 92,395 "," 124,159 "," 3,647,277 ", 5.05 , 2.53 , 7.42 , 3.40 ," 98,089 "," 142,699 "," 49,007 "," 67,585 "," 917,500 ", 10.69 , 5.34 , 15.55 , 7.36 
Alaska,2010," 36,663 "," 51,315 "," 22,853 "," 28,450 "," 522,853 ", 7.01 , 4.37 , 9.81 , 5.44 ," 3,360 "," 4,808 "," 2,434 "," 3,008 "," 20,257 ", 16.58 , 12.02 , 23.73 , 14.85 
Arizona,2010," 277,402 "," 381,243 "," 81,709 "," 121,839 "," 4,763,003 ", 5.82 , 1.71 , 8.00 , 2.55 ," 31,801 "," 43,662 "," 12,984 "," 18,174 "," 206,087 ", 15.43 , 6.30 , 21.18 , 8.81 
Arkansas,2010," 113,838 "," 179,031 "," 65,585 "," 81,789 "," 2,204,443 ", 5.16 , 2.97 , 8.12 , 3.71 ," 40,212 "," 64,932 "," 25,754 "," 32,985 "," 321,201 ", 12.51 , 8.01 , 20.21 , 10.26 
California,2010," 2,159,263 "," 2,645,083 "," 1,042,445 "," 1,207,507 "," 27,958,916 ", 7.72 , 3.72 , 9.46 , 4.31 ," 624,336 "," 770,341 "," 288,357 "," 335,192 "," 1,896,556 ", 32.91 , 15.20 , 40.61 , 17.67 
Colorado,2010," 211,549 "," 266,937 "," 65,845 "," 88,660 "," 3,803,587 ", 5.56 , 1.73 , 7.01 , 2.33 ," 29,212 "," 37,707 "," 12,511 "," 16,920 "," 164,797 ", 17.72 , 7.59 , 22.88 , 10.26 
Connecticut,2010," 212,563 "," 265,779 "," 54,646 "," 73,967 "," 2,757,082 ", 7.70 , 1.98 , 9.63 , 2.68 ," 70,308 "," 85,945 "," 23,531 "," 29,207 "," 281,143 ", 25.00 , 8.36 , 30.57 , 10.38 
Delaware,2010," 49,402 "," 61,008 "," 14,384 "," 20,982 "," 692,169 ", 7.13 , 2.07 , 8.81 , 3.03 ," 23,444 "," 29,402 "," 7,457 "," 11,255 "," 143,062 ", 16.38 , 5.21 , 20.55 , 7.86 
Florida,2010," 1,820,383 "," 2,107,504 "," 307,655 "," 411,961 "," 14,799,219 ", 12.30 , 2.07 , 14.24 , 2.78 ," 636,092 "," 739,247 "," 145,683 "," 196,203 "," 2,232,437 ", 28.49 , 6.52 , 33.11 , 8.78 
Georgia,2010," 803,959 "," 1,079,804 "," 180,011 "," 229,175 "," 7,196,101 ", 11.17 , 2.50 , 15.00 , 3.18 ," 410,565 "," 562,892 "," 102,418 "," 133,612 "," 2,140,789 ", 19.17 , 4.78 , 26.29 , 6.24 
Hawaii,2010," 53,236 "," 70,679 "," 13,263 "," 19,175 "," 1,056,483 ", 5.03 , 1.25 , 6.69 , 1.81 ," 2,821 "," 3,575 ", 608 , 881 ," 24,540 ", 11.49 , 2.47 , 14.56 , 3.59 
Idaho,2010," 87,110 "," 112,605 "," 26,990 "," 34,421 "," 1,138,510 ", 7.65 , 2.37 , 9.89 , 3.02 ," 1,472 "," 2,006 ", 521 , 704 ," 8,267 ", 17.81 , 6.30 , 24.27 , 8.51 
Illinois,2010," 585,466 "," 729,683 "," 255,118 "," 303,536 "," 9,701,453 ", 6.03 , 2.62 , 7.52 , 3.12 ," 273,402 "," 340,164 "," 163,979 "," 191,569 "," 1,378,729 ", 19.83 , 11.89 , 24.67 , 13.89 
Indiana,2010," 466,548 "," 566,087 "," 121,657 "," 149,685 "," 4,875,504 ", 9.56 , 2.49 , 11.61 , 3.07 ," 140,258 "," 171,630 "," 46,213 "," 56,520 "," 430,526 ", 32.57 , 10.73 , 39.86 , 13.12 
Iowa,2010," 110,927 "," 132,815 "," 44,234 "," 53,689 "," 2,318,362 ", 4.78 , 1.90 , 5.72 , 2.31 ," 12,585 "," 16,767 "," 5,808 "," 8,144 "," 64,856 ", 19.40 , 8.95 , 25.85 , 12.55 
Kansas,2010," 110,901 "," 129,409 "," 43,891 "," 52,942 "," 2,126,179 ", 5.21 , 2.06 , 6.08 , 2.49 ," 28,886 "," 34,468 "," 12,735 "," 15,667 "," 129,082 ", 22.37 , 9.86 , 26.70 , 12.13 
Kentucky,2010," 182,825 "," 245,683 "," 97,724 "," 118,268 "," 3,315,996 ", 5.51 , 2.94 , 7.40 , 3.56 ," 43,552 "," 57,864 "," 24,487 "," 30,142 "," 254,797 ", 17.09 , 9.61 , 22.71 , 11.83 
Louisiana,2010," 246,237 "," 358,131 "," 125,776 "," 165,221 "," 3,415,357 ", 7.20 , 3.68 , 10.48 , 4.83 ," 148,460 "," 216,914 "," 85,199 "," 112,072 "," 1,040,701 ", 14.26 , 8.18 , 20.84 , 10.76 
Maine,2010," 39,536 "," 47,222 "," 9,626 "," 11,780 "," 1,053,828 ", 3.75 , 0.91 , 4.48 , 1.11 , 610 , 937 , 144 , 252 ," 11,442 ", 5.33 , 1.26 , 8.19 , 2.20 
Maryland,2010," 256,845 "," 320,433 "," 95,477 "," 118,122 "," 4,420,588 ", 5.81 , 2.15 , 7.24 , 2.67 ," 155,091 "," 195,663 "," 63,009 "," 79,608 "," 1,293,821 ", 11.98 , 4.87 , 15.12 , 6.15 
Massachusetts,2010," 383,925 "," 438,780 "," 34,451 "," 45,763 "," 5,128,706 ", 7.48 , 0.67 , 8.55 , 0.89 ," 93,985 "," 107,666 "," 8,666 "," 11,751 "," 354,452 ", 26.51 , 2.44 , 30.37 , 3.31 
Michigan,2010," 321,805 "," 464,221 "," 124,002 "," 168,115 "," 7,539,572 ", 4.26 , 1.64 , 6.15 , 2.22 ," 85,892 "," 151,659 "," 58,233 "," 81,194 "," 1,046,127 ", 8.21 , 5.56 , 14.49 , 7.76 
Minnesota,2010," 290,922 "," 350,147 "," 50,044 "," 59,840 "," 4,019,862 ", 7.23 , 1.24 , 8.71 , 1.48 ," 37,962 "," 49,675 "," 12,578 "," 15,966 "," 195,676 ", 19.40 , 6.42 , 25.38 , 8.15 
Mississippi,2010," 123,539 "," 179,006 "," 57,893 "," 78,960 "," 2,211,742 ", 5.58 , 2.61 , 8.09 , 3.57 ," 72,214 "," 106,268 "," 33,374 "," 47,222 "," 773,869 ", 9.33 , 4.31 , 13.73 , 6.10 
