State,Year,exfels,totfels,expris,totpris,vap,pctexfel,pctexpris,pcttotfels,pcttotpris,blkexfels,totblkfels,blkexpris,totblkpris,blkvap,blkpctexfel,blkpctexpris,pcttotblkfels,pcttotblkpris
Alabama,2010,184383,270813,92395,124159,3647277, 5.05 , 2.53 , 7.42 , 3.40 ,98089,142699,49007,67585,917500,10.69,5.34,15.55,7.36
Alaska,2010,36663,51315,22853,28450,522853, 7.01 , 4.37 , 9.81 , 5.44 ,3360,4808,2434,3008,20257,16.58,12.02,23.73,14.85
Arizona,2010,277402,381243,81709,121839,4763003, 5.82 , 1.71 , 8.00 , 2.55 ,31801,43662,12984,18174,206087,15.43,6.30,21.18,8.81
Arkansas,2010,113814,179007,65585,81789,2204443, 5.16 , 2.97 , 8.12 , 3.71 ,40212,64932,25754,32985,321201,12.51,8.01,20.21,10.26
California,2010,2159263,2645083,1042445,1207507,27958916, 7.72 , 3.72 , 9.46 , 4.31 ,624336,770926,288357,335192,1896556,32.91,15.20,40.64,17.67
Colorado,2010,211582,266970,65845,88660,3803587, 5.56 , 1.73 , 7.01 , 2.33 ,29212,37707,12511,16920,164797,17.72,7.59,22.88,10.26
Connecticut,2010,212563,265779,54646,73967,2757082, 7.70 , 1.98 , 9.63 , 2.68 ,70308,85945,23531,29207,281143,25.00,8.36,30.57,10.38
Delaware,2010,49390,60996,14384,20982,692169, 7.13 , 2.07 , 8.81 , 3.03 ,23444,29402,7457,11255,143062,16.38,5.21,20.55,7.86
Florida,2010,1818825,2105946,307655,411961,14799219, 12.29 , 2.07 , 14.23 , 2.78 ,636092,739247,145683,196203,2232437,28.49,6.52,33.11,8.78
Georgia,2010,805501,1081347,180011,229175,7196101, 11.19 , 2.50 , 15.02 , 3.18 ,410565,562892,102418,133612,2140789,19.17,4.78,26.29,6.24
Hawaii,2010,53236,70679,13263,19175,1056483, 5.03 , 1.25 , 6.69 , 1.81 ,2821,3575,608,881,24540,11.49,2.47,14.56,3.59
Idaho,2010,87110,112605,26990,34421,1138510, 7.65 , 2.37 , 9.89 , 3.02 ,1472,2006,521,704,8267,17.81,6.30,24.27,8.51
Illinois,2010,585466,729683,255118,303536,9701453, 6.03 , 2.62 , 7.52 , 3.12 ,273402,340164,163979,191569,1378729,19.83,11.89,24.67,13.89
Indiana,2010,466548,566087,121657,149685,4875504, 9.56 , 2.49 , 11.61 , 3.07 ,140258,171630,46213,56520,430526,32.57,10.73,39.86,13.12
Iowa,2010,110927,132815,44234,53689,2318362, 4.78 , 1.90 , 5.72 , 2.31 ,12585,16767,5808,8144,64856,19.40,8.95,25.85,12.55
Kansas,2010,110901,129409,43891,52942,2126179, 5.21 , 2.06 , 6.08 , 2.49 ,28886,34468,12735,15667,129082,22.37,9.86,26.70,12.13
Kentucky,2010,182825,245683,97724,118268,3315996, 5.51 , 2.94 , 7.40 , 3.56 ,43552,57864,24487,30142,254797,17.09,9.61,22.71,11.83
Louisiana,2010,246225,358119,125776,165221,3415357, 7.20 , 3.68 , 10.48 , 4.83 ,148460,216914,85199,112072,1040701,14.26,8.18,20.84,10.76
Maine,2010,39525,47211,9626,11780,1053828, 3.75 , 0.91 , 4.48 , 1.11 ,610,937,144,252,11442,5.33,1.26,8.19,2.20
Maryland,2010,256834,320422,95477,118122,4420588, 5.80 , 2.15 , 7.24 , 2.67 ,155091,195663,63009,79608,1293821,11.98,4.87,15.12,6.15
Massachusetts,2010,383925,438780,34451,45763,5128706, 7.48 , 0.67 , 8.55 , 0.89 ,93985,107666,8666,11751,354452,26.51,2.44,30.37,3.31
Michigan,2010,321805,464221,124002,168115,7539572, 4.26 , 1.64 , 6.15 , 2.22 ,59209,124976,58233,81194,1046127,5.65,5.56,11.94,7.76
Minnesota,2010,290922,350147,50044,59840,4019862, 7.23 , 1.24 , 8.71 , 1.48 ,37962,49675,12578,15966,195676,19.40,6.42,25.38,8.15
Mississippi,2010,123539,179006,57893,78960,2211742, 5.58 , 2.61 , 8.09 , 3.57 ,72214,106268,33374,47222,773869,9.33,4.31,13.73,6.10
Missouri,2010,309353,415377,129946,160569,4563491, 6.77 , 2.84 , 9.10 , 3.51 ,89178,123070,40430,52478,511505,17.43,7.90,24.06,10.25
Montana,2010,40044,54462,14736,18452,765852, 5.22 , 1.92 , 7.11 , 2.40 ,472,747,219,313,4133,11.42,5.31,18.08,7.58
Nebraska,2010,57341,67260,18426,23013,1367120, 4.19 , 1.34 , 4.91 , 1.68 ,9085,11007,3959,5142,60954,14.90,6.49,18.05,8.43
Nevada,2010,80569,106970,43132,55785,2035543, 3.95 , 2.11 , 5.25 , 2.74 ,22442,29611,11061,14657,173233,12.95,6.38,17.09,8.46
New Hamp,2010,32299,40129,10257,13018,1029236, 3.13 , 0.99 , 3.89 , 1.26 ,2400,2815,660,837,12839,18.69,5.14,21.92,6.52
New Jersey,2010,432323,532699,135334,160341,6726680, 6.42 , 2.01 , 7.91 , 2.38 ,220106,268596,74298,89302,933354,23.58,7.96,28.77,9.56
New Mexico,2010,101184,129551,32022,38681,1540507, 6.56 , 2.07 , 8.40 , 2.51 ,8827,10590,3283,3835,37145,23.76,8.83,28.51,10.32
New York,2010,460311,627659,238423,295079,15053173, 3.05 , 1.58 , 4.16 , 1.96 ,222595,291884,141063,169462,2442295,9.11,5.77,11.95,6.93
North Carolina,2010,334671,417103,132623,172739,7253848, 4.61 , 1.82 , 5.75 , 2.38 ,167952,209315,71839,93288,1536233,10.93,4.67,13.62,6.07
North Dakota,2010,23258,28737,7270,8757,522720, 4.44 , 1.39 , 5.49 , 1.67 ,684,982,265,360,6302,10.86,4.20,15.58,5.72
Ohio,2010,616567,734341,239708,291420,8805753, 7.00 , 2.72 , 8.33 , 3.30 ,250711,298656,108756,132954,1048613,23.90,10.37,28.48,12.67
Oklahoma,2010,217667,269158,75051,101303,2821685, 7.71 , 2.65 , 9.53 , 3.59 ,52203,65955,21498,29436,216073,24.16,9.94,30.52,13.62
Oregon,2010,134785,198289,48742,62756,2964621, 4.54 , 1.64 , 6.68 , 2.11 ,9501,14403,5071,6406,61380,15.47,8.26,23.46,10.43
Pennsylvania,2010,294496,499392,116125,167389,9910224, 2.97 , 1.17 , 5.03 , 1.68 ,79399,155305,41382,66190,1045246,7.59,3.95,14.85,6.33
Rhode Island,2010,51099,73286,11481,14838,828611, 6.16 , 1.38 , 8.84 , 1.79 ,11608,16441,2946,3895,51527,22.52,5.71,31.90,7.56
